Datetime,t2m,z,tp,g_1000,t_1000,g_500,t_500,g_200,t_200
2014-01-25 07:00:00,279.8765,37063.72,0.0,0.007713211,297.04013,0.003269588,267.65338,4.4516288e-05,219.73146
2014-01-25 13:00:00,283.2036,37063.72,0.0012255302,0.00881505,297.05402,0.0033704746,267.1115,3.9900653e-05,220.13718
2014-01-25 19:00:00,281.36917,37063.72,5.7928264e-06,0.008493268,297.40973,0.0029563783,268.07162,7.4518844e-05,219.4244
2014-01-26 01:00:00,278.17682,37063.72,0.0,0.007816735,297.3083,0.0027387803,267.8479,6.3308515e-05,218.1225
2014-01-26 07:00:00,278.18906,37063.72,0.0,0.0068566645,297.45,0.0017981613,268.1494,8.3420426e-05,220.38728
2014-01-26 13:00:00,284.54315,37063.72,0.00011167489,0.0067066536,297.23883,0.0021344498,267.72287,8.935481e-05,220.63321
2014-01-26 19:00:00,281.97186,37063.72,0.0,0.008780432,297.507,0.0013965936,268.20917,8.309074e-05,220.12607
2014-01-27 01:00:00,278.1817,37063.72,0.0,0.008106866,297.3486,0.0009732656,267.82428,7.352978e-05,219.7412
2014-01-27 07:00:00,278.81873,37063.72,0.0,0.0072648264,297.25967,0.0009646937,268.0855,7.2540715e-05,219.2674
2014-01-27 13:00:00,285.23346,37063.72,0.00023654569,0.006754789,297.22217,0.0017216727,267.54083,8.3750114e-05,220.108
2014-01-27 19:00:00,281.35202,37063.72,4.827976e-06,0.008185993,297.39307,0.000843036,267.67978,8.572824e-05,220.29141
2014-01-28 01:00:00,278.98163,37063.72,1.2870878e-06,0.007911687,297.24854,0.0012686718,267.2713,7.0561655e-05,219.58974
2014-01-28 07:00:00,280.65866,37063.72,0.0,0.0073732957,297.2444,0.0018050848,267.8104,5.9352256e-05,218.81027
2014-01-28 13:00:00,284.65894,37063.72,0.0003781505,0.0077079358,297.2152,0.003671486,268.1425,3.132876e-05,219.75508
2014-01-28 19:00:00,281.6993,37063.72,5.5676326e-05,0.009055068,297.2444,0.0019867467,267.76315,8.045323e-05,219.6203
2014-01-29 01:00:00,277.54898,37063.72,0.0,0.007669691,297.09015,0.0013237307,268.60654,4.7153793e-05,219.53416
2014-01-29 07:00:00,277.9122,37063.72,0.0,0.0073597785,297.1652,0.0014005499,268.9303,6.92429e-05,218.94226
2014-01-29 13:00:00,285.43005,37063.72,0.0002021091,0.007186029,297.21658,0.0027532866,268.68298,4.781317e-05,219.44662
2014-01-29 19:00:00,281.7636,37063.72,9.429641e-05,0.008786697,297.5056,0.0026932824,269.2582,8.770637e-05,220.56653
2014-01-30 01:00:00,278.8377,37063.72,1.931563e-06,0.008669325,297.34583,0.0019775154,268.74548,8.572824e-05,219.99406
2014-01-30 07:00:00,279.9218,37063.72,2.8964132e-06,0.008185334,297.20966,0.002184893,268.18137,7.880479e-05,219.42719
2014-01-30 13:00:00,286.67468,37063.72,0.0004682634,0.008287539,297.45,0.004436377,268.78162,8.5398555e-05,219.7523
2014-01-30 19:00:00,280.968,37063.72,0.0003308421,0.008929454,297.3361,0.004323292,268.7038,8.935481e-05,220.73047
2014-01-31 01:00:00,279.53107,37063.72,0.0005731797,0.008521622,297.26523,0.0050308164,268.06607,7.385947e-05,220.15663
2014-01-31 07:00:00,280.3659,37063.72,5.0205737e-05,0.008235777,297.1874,0.0040460187,268.04382,6.825384e-05,219.6342
2014-01-31 13:00:00,285.08585,37063.72,0.0012197373,0.008343257,297.3083,0.004934216,268.18137,5.5395998e-05,219.74397
2014-01-31 19:00:00,280.61948,37063.72,0.00029576197,0.00901979,297.23187,0.0047640936,268.49957,8.9025125e-05,220.71936
2014-02-01 01:00:00,279.23584,37063.72,0.00032279547,0.008752079,297.18604,0.004855089,267.76315,7.352978e-05,219.12428
2014-02-01 07:00:00,280.53925,37063.72,6.533135e-05,0.008514699,297.18326,0.004551111,268.05356,6.1330386e-05,219.09232
2014-02-01 13:00:00,286.4456,37063.72,0.001244518,0.012544555,297.4806,0.004323292,268.67184,5.671475e-05,219.1604
2014-02-01 19:00:00,280.5631,37063.72,0.0002516713,0.008900112,297.2402,0.004604851,268.50372,8.14423e-05,219.65643
2014-02-02 01:00:00,278.60678,37063.72,9.5905736e-05,0.008356445,297.07208,0.0046849665,267.8382,7.089134e-05,219.51888
2014-02-02 07:00:00,279.75952,37063.72,2.70335e-05,0.008092689,296.88452,0.0038310578,267.97437,4.3197535e-05,220.02603
2014-02-02 13:00:00,284.4568,37063.72,0.0019580154,0.01108203,297.43195,0.004485831,268.57736,9.298138e-05,220.3595
2014-02-02 19:00:00,281.5321,37063.72,6.726291e-05,0.009176725,297.27634,0.0047723358,268.3106,8.210167e-05,220.05382
2014-02-03 01:00:00,279.11517,37063.72,9.657815e-07,0.008030707,297.12488,0.0047786,267.84375,6.8583526e-05,219.64532
2014-02-03 07:00:00,279.5764,37063.72,1.2870878e-06,0.007872783,296.9943,0.0045501217,267.41025,5.7374127e-05,219.90654
2014-02-03 13:00:00,285.80307,37063.72,0.00037107058,0.012326956,297.0582,0.004545836,268.10635,8.572824e-05,219.9121
2014-02-03 19:00:00,280.73645,37063.72,1.0942109e-05,0.008881648,297.33746,0.0023563346,269.05396,7.9793856e-05,219.97044
2014-02-04 01:00:00,278.79788,37063.72,0.0,0.008645257,297.1874,0.0019326769,268.8108,7.6167285e-05,219.68005
2014-02-04 07:00:00,279.8018,37063.72,9.657815e-07,0.007623204,297.08182,0.0025337096,268.15082,7.8145415e-05,219.60641
2014-02-04 13:00:00,283.51416,37063.72,0.00031571556,0.007856298,297.53616,0.00354851,268.51205,7.946417e-05,219.75647
2014-02-04 19:00:00,279.3859,37063.72,0.00040421914,0.008532172,297.4403,0.003762811,268.34116,8.111261e-05,220.05104
2014-02-05 01:00:00,277.9128,37063.72,0.00015834067,0.008259514,297.21658,0.0014529712,268.1161,5.9022568e-05,219.57028
2014-02-05 07:00:00,278.77216,37063.72,0.0001062043,0.007983231,297.18463,0.0011493228,268.23,7.517822e-05,219.60225
2014-02-05 13:00:00,284.14932,37063.72,0.0006674761,0.0087586725,297.52087,0.004597268,268.073,8.572824e-05,219.98018
2014-02-05 19:00:00,278.363,37063.72,0.00043253973,0.008816039,297.4764,0.004856738,267.97574,7.4518844e-05,219.4383
2014-02-06 01:00:00,277.52142,37063.72,0.00021787919,0.008495246,297.10266,0.004597268,267.68814,5.3747557e-05,218.85889
2014-02-06 07:00:00,278.9602,37063.72,0.00010974426,0.007942019,296.9123,0.00463782,267.1115,3.5614707e-05,219.59947
2014-02-06 13:00:00,283.69485,37063.72,0.0006674761,0.009923483,297.20547,0.0046668337,267.5214,3.7922524e-05,219.04926
2014-02-06 19:00:00,279.13293,37063.72,0.000103629194,0.008228853,297.28467,0.0045164926,267.80484,8.1771985e-05,219.35632
2014-02-07 01:00:00,277.31686,37063.72,2.6712194e-05,0.0077343117,297.0429,0.0040572286,267.5325,6.66054e-05,218.60185
