Datetime,t2m,z,tp,g_1000,t_1000,g_500,t_500,g_200,t_200,Temp
2014-12-25,282.032355,37063.72,0.0001138476665,0.00868004025,296.933495,0.00465381055,268.401275,2.1684681999999997e-05,220.46439750000002,16.698749999999997
2014-12-26,281.00933499999996,37063.72,0.0013949737202,0.009451607875,296.75251249999997,0.004680021325,268.52736,3.149337125e-05,220.821825,16.209583333333335
2014-12-27,280.9163825,37063.72,0.0006280520425000001,0.00891667825,297.06549,0.004538664899999999,268.98552,5.06981735e-05,220.6377325,17.22291666666667
2014-12-28,281.24285,37063.72,0.00047405598225,0.009210930874999999,297.1460725,0.004672850425,268.585015,7.212814075e-05,220.4835075,15.0
2014-12-29,280.672145,37063.72,0.0008494714275,0.009333577249999999,297.080775,0.00481091,268.2980875,6.330898e-05,221.0073175,14.760000000000002
2014-12-30,281.2835725,37063.72,0.00048910152,0.009604256625,297.0158225,0.004886410075,268.14351999999997,7.03148535e-05,220.5279625,16.539166666666667
2014-12-31,281.2768525,37063.72,0.0006708587825,0.008708002500000001,296.67417750000004,0.0047742922,267.632515,2.090400075e-05,220.8394825,15.275833333333335
2015-01-01,281.96125,37063.72,0.000231111304,0.009932851749999999,297.17589499999997,0.0043735647499999995,267.4529375,1.950166175e-05,221.3209,16.501666666666665
2015-01-02,281.8707225,37063.72,0.0008606199832499999,0.0092910605,297.1175875,0.004485422075,267.69111499999997,1.6350997750000002e-05,221.50818750000002,15.962083333333332
2015-01-03,281.84132999999997,37063.72,0.0005738796982499999,0.0089148585,296.9288875,0.004122984425,267.493935,2.5471905e-05,219.70843250000001,16.344166666666666
2015-01-04,280.863195,37063.72,0.000444629344,0.008498772,296.82286750000003,0.003987992975,267.36847750000004,3.193947475e-05,218.4624275,15.237499999999999
2015-01-05,281.20466250000004,37063.72,0.0005499391125,0.0088778765,296.8090825,0.0040915581,267.427145,2.447702e-05,219.46848749999998,16.887500000000003
2015-01-06,280.94309499999997,37063.72,0.00060661744125,0.008371989,296.84655250000003,0.00426237075,267.6826375,2.21552325e-05,219.51230999999999,16.9625
2015-01-07,281.8205325,37063.72,8.871580977499999e-05,0.007792967624999999,297.034195,0.0036309446,268.01162750000003,1.6350998e-05,219.6943,15.9625
2015-01-08,281.4234,37063.72,0.000185928420095,0.007427047125,297.0642275,0.003182105625,268.1374325,2.4891691250000002e-05,218.39457249999998,15.65
2015-01-09,281.61025,37063.72,0.000151891608025,0.0074855048,297.1575125,0.0037127853750000004,268.0451925,1.7512124250000003e-05,218.8624475,17.225416666666668
2015-01-10,282.1549775,37063.72,0.00022861210619,0.008184509824999998,297.13137,0.0038738963500000003,267.68441,2.024811725e-05,220.0780625,17.11791666666667
2015-01-11,281.096475,37063.72,6.6024599775e-05,0.0084607125,296.821095,0.0036540788999999997,267.97204,2.11601145e-05,219.7974825,16.208333333333332
2015-01-12,281.4532675,37063.72,0.00024700525727500003,0.00913384675,296.87058,0.003604825325,267.5737975,2.04138925e-05,219.7511925,15.829166666666666
2015-01-13,281.040815,37063.72,0.000132898914345,0.008806234999999999,296.978355,0.0027281253249999996,267.4543625,3.169081125e-05,218.44581250000002,17.31375
2015-01-14,280.92199,37063.72,0.00010301032934500001,0.008043962875,296.85821250000004,0.0028025864249999997,267.29569,2.33990145e-05,217.78606,18.022083333333335
2015-01-15,280.8236425,37063.72,2.9688467845e-05,0.007487826875,296.7316925,0.001962951175,267.22925250000003,1.162453575e-05,218.1761875,18.287499999999998
2015-01-16,280.57597499999997,37063.72,4.8381277345e-05,0.007303001025,296.9041525,0.0028205797,267.23915,1.013162525e-05,219.3391525,16.913333333333334
2015-01-17,280.91479749999996,37063.72,0.00017368327805000001,0.0082805299,296.9741125,0.00411560465,268.06076,1.170742325e-05,220.1727725,15.857083333333335
2015-01-18,280.581765,37063.72,0.00052459863,0.00879785975,297.17767,0.004599518275,268.3929375,1.29509715e-05,219.26777249999998,14.405833333333332
2015-01-19,279.5298375,37063.72,0.0005224995515,0.00862663275,296.9144025,0.0048369147,267.61797,1.8423888750000003e-05,218.9635125,14.434999999999999
2015-01-20,280.98046,37063.72,0.000334521642325,0.008999766875,297.19957,0.004516682399999999,267.43563,3.666570475e-05,218.92075499999999,14.54125
2015-01-21,279.56939,37063.72,0.0003566632425,0.00857057975,297.046205,0.004620165075,267.3893325,6.68482395e-05,219.04302,14.139166666666666
2015-01-22,280.1897975,37063.72,0.0007572095962499999,0.00885706375,297.04939,0.004536002674999999,267.39252,6.121001225e-05,219.002385,14.597916666666666
2015-01-23,280.7961225,37063.72,0.00047866638549999996,0.008967925825,297.137725,0.0043818566,267.496405,7.082871325e-05,218.9995525,14.41375
2015-01-24,280.952315,37063.72,0.00066569470025,0.008748855,297.1197125,0.0041398999499999995,267.347285,6.303424e-05,219.3610675,14.450416666666667
2015-01-25,281.150725,37063.72,0.00051080400325,0.008812453625000001,297.0324225,0.0046315249,267.812325,6.817513975e-05,219.2681225,15.739166666666666
